plant.species,Family,Genus,Sp2,native_exotic,pollination_mode,Flowering_months_duration,start_flowering,growth_form_category,plant_height_m,reference,inflorescence,structural_blossom_class,symmetry,nectar,pollen,oil,sugar.concentration,pollen.flower
Allium sphaerocephalon,Amaryllidaceae,Allium,sphaerocephalon,N,biotic,2,6,herb,0.75,,1,dish_bowl,actinomorph,1,1,0,NA,NA
Amorpha fruticosa,Fabaceae,Amorpha,fruticosa,E,biotic,2,5,shrub,4,,1,tube,NA,0,1,0,NA,NA
Amorpha nana,Fabaceae,Amorpha,nana,E,biotic,2,6,shrub,0.6,,1,tube,NA,NA,NA,NA,NA,NA
Anemone hupehensis,Ranunculaceae,Anemone,hupehensis,E,biotic,4,7,herb,0.6,,0,dish_bowl,actinomorph,0,1,0,NA,NA
Anemone tomentosa,Ranunculaceae,Anemone,tomentosa,E,biotic,3,8,herb,1,zulauf.ch,0,dish_bowl,actinomorph,0,1,0,NA,NA
Anthyllis vulneraria,Fabaceae,Anthyllis,vulneraria,N,biotic,5,5,herb,0.5,,1,flag,sigomorph,1,1,0,NA,3654
Antirrhinum majus,Plantaginaceae,Antirrhinum,majus,N,biotic,3,6,herb,1.5,,1,gullet,sigomorph,1,1,0,1079.17,NA
Asparagus officinalis,Asparagaceae,Asparagus,officinalis,N,biotic,2,5,herb,0.5,,1,bell_trumpet,actinomorph,1,1,0,47.5,NA
Asteraceae sp.,Asteraceae,Asteraceae,sp.,NA,NA,NA,NA,herb,NA,,NA,dish_bowl,actinomorph,1,1,0,NA,NA
Astragalus glycyphyllos,Fabaceae,Astragalus,glycyphyllos,N,biotic,2,6,herb,0.2,,1,flag,sigomorph,1,1,0,NA,19853
Begonia sp.,Begoniaceae,Begonia,sp.,NA,biotic,NA,NA,herb,NA,,NA,dish_bowl,actinomorph,1,1,0,NA,NA
Bellis perennis,Asteraceae,Bellis,perennis,N,biotic,10,2,herb,0.05,,1,dish_bowl,actinomorph,1,1,0,64.75,NA
Borago officinalis,Boraginaceae,Borago,officinalis,N,biotic,6,5,herb,0.6,,1,dish_bowl,actinomorph,1,1,0,36.97222222,NA
Boraginaceae sp.,Boraginaceae,Boraginaceae,sp.,NA,NA,NA,NA,herb,NA,,NA,dish_bowl,actinomorph,1,1,0,NA,NA
Brassica rapa,Brassicaceae,Brassica,rapa,N,biotic,2,4,herb,2.5,,1,dish_bowl,actinomorph,1,1,0,40.66896552,NA
Buddleja davidii,Scrophulariaceae,Buddleja,davidii,E,biotic,2,7,shrub,5,,1,stalk_disk,actinomorph,1,1,0,10306.86,NA
Calibrachoa elegans,Solanaceae,Calibrachoa,elegans,E,biotic,NA,NA,herb,NA,,NA,stalk_disk,actinomorph,NA,NA,NA,NA,NA
Calystegia sepium,Convolvulaceae,Calystegia,sepium,N,biotic,4,6,herb,3,,0,bell_trumpet,actinomorph,1,1,0,1800.78,NA
Campanula glomerata,Campanulaceae,Campanula,glomerata,N,biotic,4,6,herb,0.4,,1,bell_trumpet,actinomorph,1,1,0,40.05,NA
Campanula medium,Campanulaceae,Campanula,medium,N,biotic,3,5,herb,0.9,,1,bell_trumpet,actinomorph,1,1,0,55.8,NA
Campanula persicifolia,Campanulaceae,Campanula,persicifolia,N,biotic,2,6,herb,0.9,,1,bell_trumpet,actinomorph,1,1,0,47.85,NA
Campanula portenschlagiana,Campanulaceae,Campanula,portenschlagiana,N,biotic,3,6,herb,0.25,,1,bell_trumpet,actinomorph,1,1,0,NA,NA
Campanula rapunculoides,Campanulaceae,Campanula,rapunculoides,N,biotic,4,6,herb,1,,1,bell_trumpet,actinomorph,1,1,0,NA,NA
Campanula rotundifolia,Campanulaceae,Campanula,rotundifolia,N,biotic,5,5,herb,0.7,,1,bell_trumpet,actinomorph,1,1,0,290.18,NA
Carduus acanthoides,Asteraceae,Carduus,acanthoides,N,biotic,1,7,herb,1,,,brush,no_symmetry,1,1,0,NA,NA
Castanea sativa,Fagaceae,Castanea,sativa,E,biotic,1,6,tree,40,,1,brush,no_symmetry,1,1,0,21.9,NA
Catalpa bignonioides,Bignoniaceae,Catalpa,bignonioides,E,biotic,2,6,tree,18,,1,gullet,sigomorph,1,1,0,56,NA
Centaurea cyanus,Asteraceae,Centaurea,cyanus,N,biotic,5,6,herb,0.8,,1,dish_bowl,actinomorph,1,1,0,56.86666667,NA
Centaurea jacea,Asteraceae,Centaurea,jacea,N,biotic,4,6,herb,1.2,,1,dish_bowl,actinomorph,1,1,0,52.5125,NA
Centaurea montana,Asteraceae,Centaurea,montana,N,biotic,4,5,herb,0.8,,1,dish_bowl,actinomorph,1,1,0,61.36666667,NA
Centaurea scabiosa,Asteraceae,Centaurea,scabiosa,N,biotic,3,6,herb,2,,1,dish_bowl,actinomorph,1,1,0,55.53333333,NA
Centaurea stoebe,Asteraceae,Centaurea,stoebe,N,biotic,5,6,herb,1,,1,dish_bowl,actinomorph,1,1,0,NA,NA
Chelidonium majus,Papaveraceae,Chelidonium,majus,N,biotic,6,4,herb,0.8,,1,dish_bowl,actinomorph,0,1,0,NA,NA
Cephalanthus occidentalis,Rubiaceae,Cephalanthus,occidentalis,E,biotic,2,7,shrub,1.7,baumschule-horstmann.de,1,tube,actinomorph,NA,NA,NA,NA,NA
Cichorium intybus,Asteraceae,Cichorium,intybus,N,biotic,3,7,herb,1.2,,1,dish_bowl,actinomorph,1,1,0,NA,NA
Cirsium vulgare,Asteraceae,Cirsium,vulgare,N,biotic,3,7,herb,3,,1,brush,no_symmetry,1,1,0,12024.29,NA
Clematis patens,Ranunculaceae,Clematis,patens,E,biotic,3,7,climber,2, rosen-huber.ch,1,dish_bowl,actinomorph,0,1,0,NA,NA
Clematis sp.,Ranunculaceae,Clematis,sp.,NA,biotic,NA,NA,climber,NA,,NA,dish_bowl,actinomorph,NA,NA,NA,NA,NA
Clinopodium vulgare,Lamiaceae,Clinopodium,vulgare,N,biotic,3,7,herb,0.8,,1,gullet,sigomorph,1,1,0,NA,NA
Coriandrum sativum,Apiaceae,Coriandrum,sativum,E,biotic,2,6,herb,0.7,,1,dish_bowl,actinomorph,1,1,0,47.86666667,NA
Crepis capillaris,Asteraceae,Crepis,capillaris,N,biotic,4,6,herb,1,,1,dish_bowl,actinomorph,1,1,0,134.7,NA
Crepis sp.,Asteraceae,Crepis,sp.,NA,biotic,NA,NA,herb,NA,,NA,dish_bowl,actinomorph,1,1,0,NA,NA
Cucurbita pepo,Cucurbitaceae,Cucurbita,pepo,E,biotic,4,6,herb,2,,0,bell_trumpet,actinomorph,1,1,0,27.12933333,43578.5
Cyclamen sp.,Primulaceae,Cyclamen,sp.,NA,biotic,NA,NA,herb,NA,,NA,NA,NA,1,1,0,NA,NA
Daboecia cantabrica,Ericaceae,Daboecia,cantabrica,E,biotic,4,7,herb,0.2,baumschule-horstmann.de,1,NA,NA,NA,NA,NA,NA,NA
Dasiphora fruticosa,Rosaceae,Dasiphora,fruticosa,N,biotic,4,6,shrub,0.9,,0,dish_bowl,actinomorph,1,1,0,NA,NA
Daucus carota,Apiaceae,Daucus,carota,E,biotic,3,6,herb,1,,1,dish_bowl,actinomorph,1,1,0,573.1,NA
Delosperma cooperi,Aizoaceae,Delosperma,cooperi,E,biotic,4,6,herb,0.11,,0,dish_bowl,actinomorph,1,1,0,NA,NA
Dianthus armeria,Caryophyllaceae,Dianthus,armeria,N,biotic,3,6,herb,0.4,,1,stalk_disk,actinomorph,1,1,0,NA,NA
Digitalis grandiflora,Plantaginaceae,Digitalis,grandiflora,N,biotic,3,6,herb,1,,1,gullet,sigomorph,1,1,0,NA,NA
Digitalis lutea,Plantaginaceae,Digitalis,lutea,N,biotic,3,6,herb,1,,1,gullet,sigomorph,1,1,0,NA,NA
Digitalis purpurea,Plantaginaceae,Digitalis,purpurea,N,biotic,4,6,herb,1.8,,1,gullet,sigomorph,1,1,0,32.03333333,NA
